50		
118.802	68.1797	0
118.813	67.7017	0
118.823	67.2237	0
118.834	66.7458	0
118.845	66.2678	0
118.856	65.7898	0
118.866	65.3118	0
118.877	64.8338	0
118.888	64.3558	0
118.899	63.8778	0
118.909	63.3998	0
118.92	62.9218	0
118.931	62.4438	0
118.942	61.9658	0
118.952	61.4879	0
118.963	61.0099	0
118.974	60.5319	0
118.985	60.0539	0
118.996	59.5759	3.45
119.006	59.0979	2.776
119.017	58.6199	8.101
119.028	58.1419	8.101
119.039	57.6639	11.54
119.049	57.1859	11.54
119.06	56.708	14.58
119.071	56.23	14.58
119.082	55.752	18.491
119.092	55.274	19.942
119.103	54.796	21.173
119.114	54.318	22.053
119.125	53.84	22.529
119.135	53.362	22.111
119.146	52.884	21.521
119.157	52.406	20.25
119.168	51.9281	19.069
119.178	51.4501	18.641
119.189	50.9721	17.962
119.2	50.4941	16.92
119.211	50.0161	15.83
119.221	49.5381	14.158
119.232	49.0601	12.499
119.243	48.5821	10.556
119.254	48.1041	8.575
119.264	47.6261	6.495
119.275	47.1482	4.361
119.286	46.6702	2.413
119.297	46.1922	0.632
119.307	45.7142	0
119.318	45.2362	0
119.329	44.7582	0
50		
126.679	67.0295	0
126.689	66.5933	0
126.699	66.157	0
126.708	65.7208	0
126.718	65.2846	0
126.728	64.8484	0
126.738	64.4121	0
126.748	63.9759	0
126.757	63.5397	0
126.767	63.1035	0
126.777	62.6673	0
126.787	62.231	0
126.797	61.7948	0
126.806	61.3586	0
126.816	60.9224	0
126.826	60.4861	0
126.836	60.0499	0
126.846	59.6137	0
126.855	59.1775	0
126.865	58.7413	2.957
126.875	58.305	2.957
126.885	57.8688	6.47
126.894	57.4326	6.47
126.904	56.9964	9.882
126.914	56.5601	9.934
126.924	56.1239	9.934
126.934	55.6877	14
126.943	55.2515	14
126.953	54.8153	17.87
126.963	54.379	17.87
126.973	53.9428	20.61
126.983	53.5066	20.61
126.992	53.0704	20.61
127.002	52.6342	20.514
127.012	52.1979	20.301
127.022	51.7617	19.948
127.032	51.3255	19.475
127.041	50.8893	18.916
127.051	50.453	18.078
127.061	50.0168	17.26
127.071	49.5806	16.564
127.081	49.1444	15.866
127.09	48.7082	14.287
127.1	48.2719	12.344
127.11	47.8357	9.834
127.12	47.3995	6.315
127.129	46.9633	3
127.139	46.527	1.658
127.149	46.0908	0.302
127.159	45.6546	0
50		
131.755	66.1312	0
131.755	65.7202	0
131.755	65.3091	0
131.755	64.8981	0
131.755	64.487	0
131.755	64.076	0
131.755	63.6649	0
131.755	63.2539	0
131.755	62.8428	0
131.755	62.4318	0
131.755	62.0207	0
131.755	61.6097	0
131.755	61.1986	0
131.755	60.7876	0
131.755	60.3765	0
131.755	59.9655	0.077
131.755	59.5544	0
131.755	59.1434	0
131.755	58.7323	2.205
131.755	58.3213	2.205
131.755	57.9102	7.748
131.755	57.4992	7.513
131.755	57.0881	7.513
131.755	56.6771	11.38
131.755	56.266	11.38
131.755	55.855	14.869
131.755	55.4439	14.42
131.755	55.0329	14.42
131.755	54.6218	17.21
131.755	54.2108	17.21
131.755	53.7997	19.35
131.755	53.3887	19.35
131.755	52.9776	20.48
131.755	52.5666	20.48
131.755	52.1555	20.48
131.755	51.7445	20.532
131.755	51.3334	20.203
131.755	50.9224	19.76
131.755	50.5113	18.84
131.755	50.1003	17.931
131.755	49.6893	16.373
131.755	49.2782	14.803
131.755	48.8672	13.05
131.755	48.4561	11.069
131.755	48.0451	9.148
131.755	47.634	7.064
131.755	47.223	4.868
131.755	46.8119	3.088
131.755	46.4009	1.545
131.755	45.9898	0
50		
119.773	67.922	0
119.773	67.4558	0
119.773	66.9896	0
119.773	66.5233	0
119.773	66.0571	0
119.773	65.5909	0
119.773	65.1246	0
119.773	64.6584	0
119.773	64.1921	0
119.773	63.7259	0
119.773	63.2597	0
119.773	62.7934	0
119.773	62.3272	0
119.773	61.861	0
119.773	61.3947	0
119.773	60.9285	0.247
119.773	60.4622	0
119.773	59.996	2.776
119.773	59.5298	2.776
119.773	59.0635	2.776
119.773	58.5973	8.101
119.773	58.1311	8.101
119.773	57.6648	11.54
119.773	57.1986	11.54
119.773	56.7324	14.58
119.773	56.2661	14.58
119.773	55.7999	18.512
119.773	55.3337	17.96
119.773	54.8674	21.364
119.773	54.4012	21.23
119.773	53.9349	23.086
119.773	53.4687	22.744
119.773	53.0025	22.441
119.773	52.5362	21.142
119.773	52.07	19.786
119.773	51.6038	19.027
119.773	51.1375	18.066
119.773	50.6713	17.044
119.773	50.2051	15.916
119.773	49.7388	14.507
119.773	49.2726	12.949
119.773	48.8063	11.234
119.773	48.3401	9.329
119.773	47.8739	7.384
119.773	47.4076	5.271
119.773	46.9414	3.187
119.773	46.4752	1.562
119.773	46.0089	0.029
119.773	45.5427	0
119.773	45.0765	0
50		
120.163	67.922	0
120.163	67.4542	0
120.163	66.9864	0
120.163	66.5185	0
120.163	66.0507	0
120.163	65.5829	0
120.163	65.1151	0
120.163	64.6472	0
120.163	64.1794	0
120.163	63.7116	0
120.163	63.2438	0
120.163	62.7759	0
120.163	62.3081	0
120.163	61.8403	0
120.163	61.3724	0
120.163	60.9046	0.265
120.163	60.4368	1.563
120.163	59.969	2.039
120.163	59.5011	2.039
120.163	59.0333	2.039
120.163	58.5655	7.784
120.163	58.0977	7.784
120.163	57.6298	10.91
120.163	57.162	10.91
120.163	56.6942	14.18
120.163	56.2263	14.18
120.163	55.7585	17.79
120.163	55.2907	17.79
120.163	54.8229	21.03
120.163	54.355	21.03
120.163	53.8872	23.194
