100		
8.81372	414.526	0
9.19525	414.616	0
9.57678	414.705	0
9.95832	414.795	0
10.3398	414.885	0
10.7214	414.975	0
11.1029	415.065	0
11.4844	415.155	0
11.866	415.245	0
12.2475	415.334	0
12.629	415.424	0
13.0106	415.514	0
13.3921	415.604	0
13.7736	415.694	0
14.1552	415.784	0
14.5367	415.873	0
14.9182	415.963	0
15.2998	416.053	0
15.6813	416.143	0
16.0628	416.233	0
16.4444	416.323	0
16.8259	416.413	0
17.2074	416.502	0
17.589	416.592	0
17.9705	416.682	0
18.352	416.772	0.381
18.7336	416.862	0.793
19.1151	416.952	1.238
19.4966	417.042	1.833
19.8782	417.131	2.431
20.2597	417.221	3.105
20.6412	417.311	3.791
21.0228	417.401	4.485
21.4043	417.491	5.288
21.7858	417.581	6.083
22.1674	417.671	6.872
22.5489	417.76	7.658
22.9304	417.85	8.45
23.312	417.94	9.176
23.6935	418.03	9.884
24.075	418.12	10.557
24.4566	418.21	11.146
24.8381	418.299	11.746
25.2196	418.389	12.289
25.6012	418.479	12.818
25.9827	418.569	13.386
26.3642	418.659	13.724
26.7457	418.749	14.051
27.1273	418.839	14.17
27.5088	418.928	14.17
27.8903	419.018	14.182
28.2719	419.108	14.194
28.6534	419.198	14.22
29.0349	419.288	14.21
29.4165	419.378	14.207
29.798	419.468	14.18
30.1795	419.557	14.02
30.5611	419.647	14.02
30.9426	419.737	14.018
31.3241	419.827	13.75
31.7057	419.917	13.75
32.0872	420.007	13.24
32.4687	420.097	13.24
32.8503	420.186	13.24
33.2318	420.276	12.76
33.6133	420.366	12.76
33.9949	420.456	12.76
34.3764	420.546	12.26
34.7579	420.636	12.26
35.1395	420.726	11.76
35.521	420.815	11.76
35.9025	420.905	11.76
36.2841	420.995	11.22
36.6656	421.085	11.09
37.0471	421.175	10.52
37.4287	421.265	10.52
37.8102	421.354	10.52
38.1917	421.444	9.978
38.5733	421.534	9.978
38.9548	421.624	9.978
39.3363	421.714	9.43
39.7179	421.804	9.43
40.0994	421.894	8.886
40.4809	421.983	8.886
40.8625	422.073	8.811
41.244	422.163	8.273
41.6255	422.253	8.273
42.007	422.343	7.746
42.3886	422.433	7.746
42.7701	422.523	7.746
43.1516	422.612	7.236
43.5332	422.702	7.236
43.9147	422.792	7.236
44.2962	422.882	6.733
44.6778	422.972	6.733
45.0593	423.062	6.159
45.4408	423.152	6.159
45.8224	423.241	6.159
46.2039	423.331	5.608
46.5854	423.421	5.608
100		
9.30904	412.579	0
9.67546	412.667	0
10.0419	412.755	0
